id,chapter,title,category,services,minutes,difficulty,compatibilityStatus,fixedEnvironmentStatus,evidence,remaining,safety
"10.1","10","課題10.1: シンプル echo サーバのベンチマーク (★★)","local-automated","localhost","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","localhostまたはローカルファイルに限定する。"
"10.2","10","課題10.2: スレッドプール vs イベントループ (★★★)","local-automated","なし","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"10.3","10","課題10.3: グリーンスレッド風スケジューラを自作 (★★★)","local-automated","なし","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"10.4","10","課題10.4: 言語間 HTTP サーバ性能比較 (★)","local-automated","なし","45","1","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"11.1","11","課題11.1: Express風APIの最小サブセットを持つフレームワーク (★★★)","local-automated","なし","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"11.2","11","課題11.2: ミドルウェアパターンの比較実装 (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"11.3","11","課題11.3: DI コンテナを自作 (★★★)","local-automated","なし","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"11.4","11","課題11.4: ルーティングの Trie ベース実装 (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"12.1","12","課題12.1: OpenAPI からサーバスタブを生成 (★★)","local-automated","なし","90","2","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
"12.2","12","課題12.2: GraphQL Resolver の N+1 を解決 ― DataLoader 自作 (★★★)","local-automated","なし","150","3","passed","pending","strict solution validation; chapter typecheck/build; compiled solution test","Node 24.18.0 + pnpm 11.15.1 fixed-environment rerun","外部システムへ副作用を発生させない。"
